,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index,names
3076,23.78887582,66404649.17,66.40464917,0.755957582,0.567019286,1.316642278,0.244042418,232618.0021,1.003246749,0.51973295,6913151.667,129436.4772,22603231.8,0.997714923,0.44797375,0.625059198,0.465423661,0.418207891,0.737063826,best_case_rcp45_2016-2045 (usual)
3077,23.88766315,57897340.08,57.89734008,0.787342207,0.572366862,1.00690286,0.212657793,201977.8289,1.011401728,0.537679608,8339027.948,129436.4772,17590526.63,1,0.362788377,0.498410121,0.089415235,0.401187778,0.756548914,best_case_rcp45_2016-2045 (usual)
3078,19.659942,71589576.09,71.58957609,0.655821875,0.576300194,1.676930122,0.344178125,303449.4205,1.330886413,0.393516828,17477955.37,129436.4772,37744322.88,1,0.371135241,0.510046682,0.109130552,0.385723625,0.738653996,best_case_rcp45_2016-2045 (usual)
3079,93.54636215,49974407.74,49.97440774,0.966956201,0.575386386,0.310693935,0.033043799,44518.39582,1.036118318,0.630546608,1585027.88,129436.4772,2542494.051,1,0.5,0.666666667,0.587275489,0.500462405,0.786756228,best_case_rcp45_2016-2045 (usual)
3080,18.71516627,75040217.96,75.04021796,0.629737748,0.571883162,2.097188982,0.370262252,334132.8315,1.283575443,0.393809124,13404489.98,129436.4772,43891061.3,0.998941809,0.37706346,0.518977065,0.122266389,0.383364815,0.730878833,best_case_rcp45_2016-2045 (usual)
3081,69.04581525,47921338.9,47.9213389,0.942636145,0.562936941,0.564562729,0.057363855,57837.60962,0.893178356,0.685369642,2165206.457,129436.4772,4011636.89,0.998783539,0.40277214,0.556592923,0.372509374,0.459387869,0.750803281,best_case_rcp45_2016-2045 (usual)
3082,222.6893748,47483045.98,47.48304598,0.976106711,0.586970844,0.467856446,0.023893289,17768.78893,0.460420103,0.674189282,597772.3262,129436.4772,728462.0163,1,0.5,0.666666667,0.608618524,0.521215186,0.847252636,best_case_rcp45_2016-2045 (usual)
3083,23.04227414,61213236.15,61.21323615,0.723347662,0.570888496,1.828800627,0.276652338,221380.1894,1.351527475,0.511888669,12286280.79,129436.4772,32790125.85,0.991404056,0.434628916,0.604424599,0.465462854,0.417755738,0.730568575,best_case_rcp45_2016-2045 (usual)
3084,21.08356373,64745222.33,64.74522233,0.70153157,0.561325223,1.814638467,0.29846843,255907.1731,1.588700462,0.460082715,17769752.33,129436.4772,39395284.31,1,0.354111697,0.48423652,0.059163956,0.382974338,0.743345536,best_case_rcp45_2016-2045 (usual)
3085,20.37108498,77202697.55,77.20269755,0.595100954,0.5880845,2.432136301,0.404899046,315818.138,1.057398482,0.356192274,11155915.59,129436.4772,40459033.03,0.998731142,0.382492727,0.529734118,0.165461682,0.383834952,0.732981422,best_case_rcp45_2016-2045 (usual)
3086,23.76991262,67661018.88,67.66101888,0.743831149,0.571924298,1.323646,0.256168851,237208.2022,1.119228803,0.512191863,12193074.45,129436.4772,22371822.17,0.992496802,0.403118869,0.554901563,0.40075893,0.412713354,0.730231765,best_case_rcp45_2016-2045 (usual)
3087,35.71919013,62191812.18,62.19181218,0.854133003,0.573112586,1.013162626,0.145866997,145094.3035,0.980789771,0.520225395,5210131.163,129436.4772,12037244.88,1,0.419719572,0.581726541,0.400097551,0.438720062,0.760169666,best_case_rcp45_2016-2045 (usual)
3088,23.29712568,59342611.73,59.34261173,0.749819721,0.586537751,1.241004538,0.250180279,212267.2862,0.794931115,0.525967541,8047957.61,129436.4772,15927816.19,1,0.400049049,0.55057168,0.186088795,0.413910793,0.762446689,best_case_rcp45_2016-2045 (usual)
3089,21.16591345,58825763.89,58.82576389,0.754888562,0.577079538,1.158603651,0.245111438,231605.7373,0.900373013,0.53779115,8219476.63,129436.4772,18386310.42,1,0.437774846,0.602394967,0.45666803,0.424875397,0.759451205,best_case_rcp45_2016-2045 (usual)
3090,18.02958586,62468987.71,62.46898771,0.727656204,0.53315015,1.290255156,0.272343796,288733.6968,2.102697885,0.463933413,26992843.54,129436.4772,42044556.67,1,0.464642108,0.649448616,0.478462597,0.427039083,0.738499465,best_case_rcp45_2016-2045 (usual)
3091,35.48069997,55249904.32,55.24990432,0.840794371,0.574930875,1.068490337,0.159205629,129765.1596,0.742733675,0.640113549,5090773.981,129436.4772,9164697.934,1,0.484481767,0.666666667,0.524350353,0.458769298,0.768554302,best_case_rcp45_2016-2045 (usual)
3092,24.48386031,66905166.28,66.90516628,0.795762905,0.576859461,0.778547446,0.204237095,227718.6054,1.202767724,0.375610098,8776316.285,129436.4772,20838323.46,1,0.5,0.666666667,0.639023206,0.461762011,0.749447811,best_case_rcp45_2016-2045 (usual)
3093,26.54694059,55490088.95,55.49008895,0.814598776,0.555596813,1.110631462,0.185401224,174188.5874,1.269976401,0.534135011,9081502.372,129436.4772,19304112.91,1,0.457191665,0.639131317,0.479709961,0.446361591,0.761842918,best_case_rcp45_2016-2045 (usual)
3094,40.32771985,52555009.39,52.55500939,0.859856922,0.582063107,0.783537437,0.140143078,108599.8448,0.392415637,0.688669809,1354246.681,129436.4772,5275669.259,1,0.492828631,0.666666667,0.530616589,0.463963879,0.755944996,best_case_rcp45_2016-2045 (usual)
3095,24.24823365,65877519.85,65.87751985,0.752281366,0.564845316,1.116538371,0.247718634,226399.7205,1.040318425,0.536220992,10558757.32,129436.4772,20509366.8,0.999788607,0.400370408,0.550470198,0.126286251,0.408184679,0.742447751,best_case_rcp45_2016-2045 (usual)
3096,23.20999674,57619790.06,57.61979006,0.759382194,0.574370901,1.3595559,0.240617806,206878.494,0.900720317,0.565402474,6959969.272,129436.4772,19168128.09,1,0.419262905,0.583011975,0.407714202,0.4119051,0.761713338,best_case_rcp45_2016-2045 (usual)
3097,25.05840204,64529907.58,64.52990758,0.768269515,0.569751259,1.193782307,0.231730485,214598.3727,1.002493184,0.534430055,6614178.476,129436.4772,21392052.26,0.998602626,0.374145863,0.513023476,0.061529189,0.387941667,0.737766931,best_case_rcp45_2016-2045 (usual)
